País,Departamento,Ciudad,Localidad,Zona / barrio,Estado,Área Construida,Área Terreno,Alcobas,Baño,Garaje,Estrato,Piso,Año construcción,Tipo de inmueble,Tipo de negocio,Valor Administración,URL,Título,Precio,Fecha extracción,Sección
Colombia,Cundinamarca,Bogotá D.C.,Usaquén,Santa Bárbara,Usado,86 m²,86 m²,2,N/A,1,6,N/A,1989,Apartamento,Venta,$600.000,https://bogotarealestate.com.co/apartamento-venta-santa-barbara-bogota-dc/9606822,APARTAMENTO EN VENTA EN SANTA BÁRBARA CENTRAL,$541.800.000COP,2025-11-08 23:13,Ventas
Colombia,Cundinamarca,Bogotá D.C.,Suba,Britalia,Usado,72 m²,72 m²,3,N/A,1,3,N/A,2010,Apartamento,Venta,$300.288,https://bogotarealestate.com.co/apartamento-venta-britalia-bogota-dc/9606627,APARTAMENTO EN VENTA EN BRITALIA – CONJUNTO RINC…,$383.000.000COP,2025-11-08 23:13,Ventas
Colombia,Cundinamarca,Bogotá D.C.,Usaquén,Villas Del Mediterraneo,Usado,96 m²,96 m²,3,N/A,2,4,1,1991,Apartamento,Venta,$440.000,https://bogotarealestate.com.co/apartamento-venta-villas-del-mediterraneo-bogota-dc/9585965,APARTAMENTO EN VENTA EN VILLAS DEL MEDITERRÁNEO,$444.000.000COP,2025-11-08 23:13,Ventas
Colombia,Cundinamarca,Bogotá D.C.,Usaquén,Cedritos,Usado,91 m²,91 m²,3,N/A,1,4,N/A,1995,Apartamento,Venta,$541.000,https://bogotarealestate.com.co/apartamento-venta-cedritos-bogota-dc/9585950,APARTAMENTO EN VENTA EN CEDRITOS – CONJUNTO TORR…,$460.000.000COP,2025-11-08 23:13,Ventas
Colombia,Cundinamarca,Bogotá D.C.,Usaquén,Cedritos,Usado,76 m²,76 m²,3,N/A,1,4,N/A,1990,Apartamento,Venta,N/A,https://bogotarealestate.com.co/apartamento-venta-cedritos-bogota-dc/9585894,APARTAMENTO EN VENTA EN CEDRITOS – CONJUNTO LOS…,$460.000.000COP,2025-11-08 23:14,Ventas
Colombia,Cundinamarca,Bogotá D.C.,Usaquén,San Patricio,Usado,122 m²,122 m²,2,N/A,2,6,N/A,10,Apartamento,Venta,$600.000,https://bogotarealestate.com.co/apartamento-venta-san-patricio-bogota-dc/9581058,VENTA APARTAMENTO SAN PATRICIO,$1.115.000.000COP,2025-11-08 23:14,Ventas
Colombia,Cundinamarca,Bogotá D.C.,Usaquén,Cedritos,Usado,80.54 m²,80.54 m²,N/A,N/A,1,4,N/A,1990,Apartamento,Venta,$416.000,https://bogotarealestate.com.co/apartamento-venta-cedritos-bogota-dc/9581042,VENTA APARTAMENTO CEDRITOS,$370.000.000COP,2025-11-08 23:14,Ventas
Colombia,Cundinamarca,Bogotá D.C.,Usaquén,Belmira,Usado,156 m²,156 m²,3,N/A,1,4,N/A,1986,Apartamento,Venta,$650.000,https://bogotarealestate.com.co/apartamento-venta-belmira-bogota-dc/9581030,VENTA APARTAMENTO BELMIRA - CEDRITOS,$400.000.000COP,2025-11-08 23:14,Ventas
Colombia,Cundinamarca,Bogotá D.C.,Usaquén,El Contador,Usado,62.45 m²,62.45 m²,2,N/A,2,5,N/A,2021,Apartamento,Venta,$750.000,https://bogotarealestate.com.co/apartamento-venta-el-contador-bogota-dc/9575203,"APARTAMENTO EN VENTA – EDIFICIO COUNTRY 134, NOR…",$585.500.000COP,2025-11-08 23:14,Ventas
Colombia,Boyacá,Tunja,N/A,Centro,Nuevo,60 m²,60 m²,3,N/A,N/A,3,N/A,2025,Apartamento,Venta,$150.000,https://bogotarealestate.com.co/apartamento-venta-centro-tunja/9571699,VENDO APARTAMENTO EN TUNJA,$210.000.000COP,2025-11-08 23:14,Ventas
