Administration Fee,Bathrooms,Price,Bedrooms,Stratum,Property Type,State,Year Built,Garage,Business Type,Status,Neighborhood,Country,Locality,City,Built Area,Floor,Land Area,URL,Title,Extraction Date,Error,Section
N/A,1,$1.500.000,N/A,3,Local,Cundinamarca,1982,N/A,Alquiler,Usado,Las Ferias,Colombia,Engativá,Bogotá D.C.,60 m²,4,60 m²,https://bogotarealestate.com.co/local-alquiler-las-ferias-bogota-dc/9598213,ARRIENDO LOCAL BARRIO LAS FERIAS,2025-11-09 16:16,,Sales
N/A,1,$3.500.000,N/A,3,Local,Cundinamarca,1982,N/A,Alquiler,Usado,Las Ferias,Colombia,Engativá,Bogotá D.C.,130 m²,3,130 m²,https://bogotarealestate.com.co/local-alquiler-las-ferias-bogota-dc/9598153,ARRIENDO LOCAL BARRIO LAS FERIAS,2025-11-09 16:16,,Sales
N/A,2,$1.700.000,3,3,Apartamento,Cundinamarca,2010,1,Alquiler,Usado,San Cipriano,Colombia,Suba,Bogotá D.C.,60 m²,5,60 m²,https://bogotarealestate.com.co/apartamento-alquiler-san-cipriano-bogota-dc/9588591,ARRIENDO APARTAMENTO EN SANTA CAROLINA,2025-11-09 16:16,,Sales
N/A,2,$6.600.000,2,6,Apartamento,Cundinamarca,2015,2,Alquiler,Usado,San Patricio,Colombia,Usaquén,Bogotá D.C.,.67 m²,2,122 m²,https://bogotarealestate.com.co/apartamento-alquiler-san-patricio-bogota-dc/9581063,ARRIENDO APARTAMENTO SAN PATRICIO,2025-11-09 16:16,,Sales
N/A,1,$1.500.000,1,3,Apartamento,Cundinamarca,2022,N/A,Alquiler,Usado,Villa Del Prado,Colombia,Suba,Bogotá D.C.,35 m²,13,35 m²,https://bogotarealestate.com.co/apartamento-alquiler-villa-del-prado-bogota-dc/9571730,ARRIENDO APARTAMENTO EN  VILLA DEL PRADO,2025-11-09 16:16,,Sales
N/A,3,$5.900.000,2,6,Apartamento,Cundinamarca,2005,2,Alquiler,Usado,San Patricio,Colombia,Usaquén,Bogotá D.C.,110 m²,4,110 m²,https://bogotarealestate.com.co/apartamento-alquiler-san-patricio-bogota-dc/9549730,SE ARRIENDA APARTAMENTO EN SAN PATRICIO,2025-11-09 16:16,,Sales
N/A,2,$3.500.000,2,6,Apartamento,Cundinamarca,1998,2,Alquiler,Usado,Santa Bárbara,Colombia,Usaquén,Bogotá D.C.,74 m²,2,74 m²,https://bogotarealestate.com.co/apartamento-alquiler-santa-barbara-bogota-dc/9521299,ARRIENDO APARTAMENTO EN SANTA BARBARA,2025-11-09 16:16,,Sales
N/A,1,$2.100.000,1,4,Apartaestudio,Cundinamarca,2015,1,Alquiler,Usado,Cedritos,Colombia,Usaquén,Bogotá D.C.,43 m²,2,43 m²,https://bogotarealestate.com.co/apartaestudio-alquiler-cedritos-bogota-dc/9432698,ARRIENDO APARTA ESTUDIO EN CEDRITOS,2025-11-09 16:16,,Sales
N/A,1,$2.500.000,1,5,Apartaestudio,Cundinamarca,2025,N/A,Alquiler,Usado,La Catellana,Colombia,Barrios Unidos,Bogotá D.C.,23 m²,6,23 m²,https://bogotarealestate.com.co/apartaestudio-alquiler-la-catellana-bogota-dc/9403623,ARRIENDO APARTAESTUDIO - LA CASTELLANA,2025-11-09 16:17,,Sales
N/A,2,$3.300.000,3,4,Apartamento,Cundinamarca,2025,1,Alquiler,Usado,Centro,Colombia,N/A,La Calera,80 m²,7,80 m²,https://bogotarealestate.com.co/apartamento-alquiler-centro-la-calera/9379793,ARRIENDO APARTAMENTO LA CALERA,2025-11-09 16:17,,Sales
N/A,2,$1.700.000,1,4,Oficina,Cundinamarca,2018,1,Alquiler,Usado,Belmira,Colombia,Usaquén,Bogotá D.C.,25 m²,5,25 m²,https://bogotarealestate.com.co/oficina-alquiler-belmira-bogota-dc/9324131,ARRIENDO OFICINA BELMIRA,2025-11-09 16:17,,Sales
N/A,1,$1.480.000,2,3,Apartamento,Cundinamarca,2025,N/A,Alquiler,Usado,Lagos De Torca,Colombia,Suba,Bogotá D.C.,46 m²,8,46 m²,https://bogotarealestate.com.co/apartamento-alquiler-lagos-de-torca-bogota-dc/9275974,ARRIENDO APARTAMENTO CONJUTO GIRASOL,2025-11-09 16:17,,Sales
